ID;Title;Work Item Type;Description;Acceptance Criteria;Tags;Story Points;Priority
33711;Wachtwoord wijzigen;User Story;Als gebruiker van de Teamformer app wil ik mijn wachtwoord kunnen wijzigen, zodat ik de beveiliging van mijn account kan verbeteren of herstellen wanneer nodig.;Acceptatiecriteria * Er is een API-endpoint beschikbaar voor het wijzigen van het wachtwoord. * Het endpoint vereist de invoer van het huidige wachtwoord en het nieuwe wachtwoord. * Het nieuwe wachtwoord wordt gevalideerd op lengte en complexiteit (minimaal 8 tekens, inclusief een hoofdletter en een cijfer). * Het wachtwoord wordt veilig opgeslagen met hashing. * De gebruiker ontvangt een bevestiging als het wachtwoord succesvol is gewijzigd. Functionele eisen * De back-end biedt een API-endpoint om het wachtwoord te wijzigen. * Het nieuwe wachtwoord wordt gevalideerd volgens de gestelde eisen. * Het oude wachtwoord moet correct zijn om wijzigingen toe te staan. Niet-functionele eisen * Het wijzigingsproces mag niet langer dan 2 seconden duren. * Het wachtwoord moet veilig worden opgeslagen met hashing (bijvoorbeeld bcrypt). * Foutmeldingen bij ongeldige invoer moeten duidelijk en gestructureerd zijn.;Back-end;8;1
33686;Verwijderen van mijn team;User Story;Als gebruiker van de Teamformer app wil ik een van mijn teams kunnen verwijderen, zodat mijn teamoverzicht overzichtelijk en up-to-date blijft.;Acceptatiecriteria * Ik kan mijn team verwijderen via een duidelijke optie op de teams pagina. * Er wordt een bevestigingsscherm getoond voordat het team definitief wordt verwijderd. * Alleen ik kan teams verwijderen waar ik beheerder van ben. * Na het verwijderen wordt het team direct uit mijn overzicht verwijderd. * Ik ontvang een melding dat het team succesvol is verwijderd. Functionele eisen * De app biedt een functie om mijn teams te verwijderen. * Alleen teams waarvoor ik beheerder ben, kunnen worden verwijderd. * Er wordt een bevestigingsscherm weergegeven voordat een team definitief wordt verwijderd. Niet-functionele eisen * De verwijderactie moet binnen 2 seconden worden verwerkt. * Het bevestigingsscherm en de melding moeten duidelijk en gebruiksvriendelijk zijn. * De verwijderfunctie moet voldoen aan beveiligingsnormen om ongeoorloofde toegang te voorkomen.;Back-end;5;1
30543;Use Case Diagrammen Maken;Task;Als ontwikkelaar wil ik use case diagrammen maken, zodat alle betrokken actoren en hun interacties binnen de belangrijkste functionaliteiten van het systeem duidelijk worden weergegeven.;;;;2
33726;Uitnodigen;Epic;Beschrijving Als gebruiker van de Teamformer app wil ik anderen kunnen uitnodigen voor evenementen of teams, zodat ik samenwerking kan bevorderen en deelname kan vergroten. Features * Gebruikers uitnodigen voor evenementen: Gebruikers kunnen anderen uitnodigen via e-mail of QR-code. * Teamleden uitnodigen: Team eigenaren kunnen eenvoudig leden uitnodigen om zich bij hun team aan te sluiten. * Uitnodigingen beheren: Beheerders kunnen uitnodigingen bekijken en intrekken indien nodig. * Meldingen en status: Gebruikers ontvangen meldingen over de status van verzonden uitnodigingen (bijv. geaccepteerd of afgewezen).;;;;2
30525;UI/UX Design Phase;Epic;Deze Epic omvat alle ontwerpfasen voor de UI/UX van het project. Het doel is om wireframes, mockups en visuele elementen te ontwikkelen die de gebruikerservaring verbeteren en de interface gebruikervriendelijk en aantrekkelijk maken. Deze fase zorgt ervoor dat alle visuele en functionele aspecten van de interface goed worden gedefinieerd voordat de ontwikkeling begint.;;Documentatie;;1
32898;Testen;Epic;"De Epic ""Testen"" omvat alle activiteiten die nodig zijn om de kwaliteit en betrouwbaarheid van de applicatie te waarborgen. Dit omvat het opstellen en uitvoeren van testplannen, het testen van afzonderlijke functionaliteiten (unit testing), het valideren van integraties (integration testing), en het evalueren van de volledige gebruikerservaring (end-to-end testing). Het doel is om fouten en gebreken vroegtijdig te identificeren en op te lossen, zodat een stabiele en gebruiksvriendelijke applicatie wordt geleverd.";;;;2
31227;Teams pagina Front-end;User Story;Als gebruiker van de Teamformer app wil ik een teams pagina zien, zodat ik een overzicht krijg van alle teamleden en hun rollen binnen de evenement.;* De teams pagina bevat een overzicht van alle teams en teamleden, gestructureerd. * Elk teamlid wordt weergegeven met naam, profielfoto. * De lay-out past zich aan verschillende schermformaten aan (responsive design). Functionele eisen * De teams pagina toont een overzicht van alle teamleden in een gestructureerd formaat. * Elk teamlid wordt weergegeven met naam. * Er is een zoek- en filterfunctie beschikbaar om snel specifieke teamleden te vinden. Niet-functionele eisen * De lay-out is responsive en past zich aan verschillende schermformaten aan. * De zoek- en filterfunctie reageert binnen 1 seconde.;Front-end;8;2
33677;Teams;Epic;Beschrijving Als gebruiker van de Teamformer app wil ik teams kunnen beheren, teamleden kunnen zien en met hen communiceren, zodat samenwerking binnen de organisatie soepel verloopt. Features * Teamspagina - Front-end: Gebruikers kunnen een overzicht van teams en teamleden zien. * Mijn teams beheren: Gebruikers kunnen de gegevens van hun teams aanpassen, zoals de teamnaam, beschrijving, en ledenlijst. * Leden toevoegen en verwijderen: Beheerders kunnen teamleden uitnodigen of verwijderen. * Team zoeken en filteren: Gebruikers kunnen snel specifieke teams of leden vinden via zoek- en filteropties.;;;;2
33698;Teamgegevens aanpassen;User Story;Als gebruiker van de Teamformer app wil ik de gegevens van mijn team kunnen aanpassen, zodat ik informatie zoals de teamnaam, beschrijving, of ledenlijst up-to-date kan houden.;Acceptatiecriteria * Ik kan de teamnaam en beschrijving wijzigen via een bewerkoptie. * Ik kan teamleden toevoegen of verwijderen. * Alleen ik, als beheerder van het team, kan teamgegevens aanpassen. * Na het opslaan van wijzigingen wordt de informatie direct bijgewerkt in mijn overzicht. * Ik ontvang een melding dat de aanpassingen succesvol zijn doorgevoerd. Functionele eisen * De app biedt een bewerkoptie om teamnaam, beschrijving en ledenlijst te wijzigen. * Alleen beheerders kunnen teamgegevens aanpassen. * Wijzigingen worden direct doorgevoerd en zichtbaar gemaakt. Niet-functionele eisen * Het aanpassen van teamgegevens mag niet langer dan 2 seconden duren. * De bewerkingsfunctie moet intuïtief en gebruiksvriendelijk zijn. * Gegevens moeten veilig worden verwerkt en opgeslagen volgens beveiligingsnormen.;Back-end;5;2
33702;Specifieke evenementen inzien;User Story;Als gebruiker van de Teamformer app wil ik details van een specifiek evenement kunnen bekijken, zodat ik meer informatie krijg over het evenement en weet hoe ik kan deelnemen.;Acceptatiecriteria * Ik kan op een evenement klikken om gedetailleerde informatie te zien, zoals naam, datum, tijd, locatie en beschrijving. * Deelnamestatus wordt weergegeven (bijvoorbeeld “Ingeschreven” of “Nog niet ingeschreven”). * Er is een optie om terug te keren naar het overzicht van evenementen. Functionele eisen * De app biedt een detailpagina voor specifieke evenementen met uitgebreide informatie. * Deelnamestatus wordt duidelijk weergegeven. Niet-functionele eisen * De detailpagina moet binnen 1 seconde laden. * De navigatie tussen evenementdetails en het overzicht moet soepel en intuïtief zijn.;Front end;5;1
